Sl, Question, Answer
1, How many rivers flow form India?, 54
2, How many rivers flow form Myanmar?, 3
3, How many international rivers flow through Bangladesh?, 57 or 58 (incl Brahmaputra)
4, Which is the biggest river delta of the world?, Ganges Delta system
5, Which is the longest river?, Brahmaputra
6, Which one is the swiftest rivers?, The Padma
7, What is the nickname of Ganges Delta?, Green Delta
8, Where does the Jamuna meet the Padma?, Goalundo Ghat (Rajbari)
9, The Meghna forms as a confluence of which two rivers?, Surma and Kushiyara
10, What are upper and lower Meghna?, Meghan before and after joining the Padma
